Date,User,Message
2020-04-18 15:39:27,"스코","그냥 날씨 좋길래 근처사는 회사동료랑 올공와서"
2020-04-18 15:39:38,"스코","라면에 만두먹고 책읽을데 찾다가"
2020-04-18 15:39:47,"스코","두리번거리는데"
2020-04-18 15:39:57,"스코","시선에 식이가 딱 걸림"
2020-04-18 15:58:17,"강강강","봄이 왔구만 슼"
2020-04-18 15:58:17,"강강강","이모티콘"
2020-04-18 15:58:25,"강강강","나랑 꽃보러 가지않을래"
2020-04-18 15:58:28,"강강강","불렀구만"
2020-04-18 16:07:36,"승모","ㅋㅋ 좋겠다 ㅠㅠ 출근했다가 집에옴"
2020-04-18 16:33:05,"김정식","노예가"
2020-04-18 16:36:17,"강강강","오늘 토욜아님? ㅠㅠ"
2020-04-18 16:44:54,"김정식","이시국에 주말출근이고"
2020-04-18 16:44:57,"스코","코로나 중에도 토욜근무?"
2020-04-18 17:03:40,"승모","그니까 .. ㅋㅋㅋ 스코 여자친구 생겼나 근데"
2020-04-18 17:28:36,"스코","아닝"
2020-04-18 17:31:31,"스코","~~"
2020-04-18 19:07:08,"강강강","여친은 아니지만 공원데이트중이군"
2020-04-18 19:07:10,"강강강","흠흠"
2020-04-18 19:07:18,"강강강","이모티콘"
2020-04-19 07:36:50,"김정식","스코 잘해봐라"
2020-04-19 07:37:09,"김정식","성격 좋으신거 같던데"
2020-04-19 11:21:24,"강강강","사진만 봐도"
2020-04-19 11:21:34,"강강강","좋아보이네"
2020-04-19 13:20:40,"스코","후아..."
2020-04-19 13:20:50,"스코","그런거 아니라니까 그러네 참...ㅠ"
2020-04-19 15:30:50,"강강강","ㅋㅋㅋㅋㅋㅋ 더 안하께"
2020-04-19 15:31:10,"강강강","후아에 많은게 담겨있구만"
2020-04-19 15:31:42,"강강강","아 식이 부럽"
2020-04-19 18:07:51,"김정식","같은 백수끼리 뭐가부럽 ㅋㅋ"
2020-04-19 19:11:04,"스코","난 너네 둘이 부럽"
2020-04-19 21:47:31,"강강강","퇴사한지 얼마안돼서 부럽 ㅋㅋㅋㅋㅋㅋ"
2020-06-01 10:39:22,"김정식","슥호"
2020-06-01 10:39:36,"김정식","해외주식 증권사 어디쓰너 ㅋㅋ"
2020-06-01 11:46:50,"스코","미래에셋"
2020-06-01 11:47:01,"스코","뭐 살라고"
2020-06-01 11:47:03,"스코","ㅋㅋㅋ"
2020-06-01 11:59:52,"김정식","돈없어서 뭐 사진 못하고 ㅋㅋㅋ 일단 개설할까 싶어서"
2020-06-01 12:00:37,"김정식","1주는 살수있겠지…"
